Year,WSPD,U,V,WS^3,SKC,ATEMP,DEWP,SLP,ERSST,Qb,Qi,Qs,Ql,Qnet,JFMA_IC,I_OUT,I_IN,IceFREE,YukonDisch.,PDO (winter) Pacific Dacadal Oscillation Index,PDO (summer),PDO (Annual),AOI (normalized) Arctic Oscillaiton Index,EPIw,PNA_CPC,PNA_WG,Siberian/Alaskan Index,Siberian Index,Alaskan Index,WPw,WPsp,NPIAw,NPIss,S-B difference,
1973,4.82,-1.015,-0.132,271.985,0.65,-3.98,-7.43,1009.05,2.6,-18.11,46.53,-9.1,-12.8,6.53,.,156,308,152,1999203.9,-0.47,-0.89,-0.8,1.2,-0.5,-0.21,0.13,-1.31,-1.45,-0.14,1.07,0.76,0.38,0.04,.,
1974,4.281,-0.954,-0.887,203.204,0.53,-3.98,-8.45,1011.09,3.18,-18.3,55.55,-6.66,-11.74,18.84,0.78,148,296,148,1832351.1,-1.21,-0.04,-0.34,0.12,-0.36,-0.35,-0.53,1.3,0.46,-0.84,-0.69,-0.57,0.18,-0.15,.,
1975,4.184,-0.936,-0.408,195.891,0.61,-4.65,-7.92,1010.38,2.25,-21.48,80.87,-7.01,-10.38,42,0.85,138.3,307,168.7,2802884.3,-0.56,-0.88,-1.1,0.93,-0.6,0.03,-0.5,2.21,0.72,-1.49,-0.31,-0.37,0.61,0.5,.,
1976,4.322,-0.997,-0.645,205.804,0.59,-4.46,-8.72,1008.05,2.44,-14.97,32.41,-7.39,-11.95,-1.9,0.84,167,309,142,2066847.5,-1.53,0.41,0.01,1.12,-0.25,-0.37,-0.52,2.13,0.41,-1.73,-0.29,0.56,0.64,-0.73,1.7518,
1977,4.755,-1.464,-0.414,266.824,0.6,-2.22,-7.02,1008.5,3.01,-9.42,70.84,0.82,-3.13,59.11,.,139.1,313.7,174.6,2204658.9,1.33,0.42,0.23,-2.04,-0.55,1.43,1.29,0.53,0.25,-0.28,-0.27,0.69,-1.21,0.4,.,
1978,5.176,-1.906,-0.489,315.146,0.69,0.12,-4.18,1007.42,3.74,-19.7,55.44,-10.45,-15.98,9.31,.,139.1,319,179.9,1814574.9,0.37,-0.55,0.24,-0.8,1.56,0.46,0.92,-2.49,-1.04,1.45,0.09,-0.58,-0.96,0.84,.,
1979,4.853,-1.401,-0.57,269.066,0.63,-1.02,-5.44,1008.73,4.1,-19.83,35.55,-8.4,-15,-7.68,0.67,116,327,211,2402939.7,-0.78,0.51,0.34,-0.89,0.98,-1.08,-0.84,-3.77,-2.69,1.07,0.94,-0.03,0.86,0.28,1.4631,
1980,4.203,-1.09,-1.024,185.132,0.63,-1.53,-6.54,1008.96,3.02,-19.24,34.04,-6.38,-12.04,-3.62,0.74,131,322,191,2500851.1,0.26,0.17,0.6,-0.25,0.56,0.36,0.42,0.18,-0.01,-0.19,-0.27,1.15,-0.43,-0.49,.,
1981,4.186,-0.942,-1.009,177.035,0.64,-0.56,-5.91,1007.2,4.18,-20.93,36.71,-10.55,-15.56,-10.32,0.68,127,309,182,2330336.7,0.65,0.9,0.92,0.1,0.42,0.84,1.07,0.56,1.54,0.98,-0.73,0.09,-1.9,-0.37,.,
1982,4.428,-1.454,-0.738,197.659,0.65,-1.55,-6.99,1010.68,2.54,-13.23,31.08,-4.4,-8.68,4.78,0.81,153,303,150,2602049,0.4,0.06,0.11,-0.08,0.93,-0.55,-0.66,-1.68,-0.89,0.79,0.08,0.2,0.87,0.19,-0.36071,
1983,4.565,-1.097,-0.678,234.286,0.63,-0.54,-6.27,1008.39,3.42,-15.18,31.39,-7.01,-12.2,-2.99,0.76,131,298,167,2227469.9,0.65,2.57,1.65,0.4,-0.3,1.08,1.24,1.19,0.35,-0.84,0.49,-0.03,-2.32,-0.32,.,
1984,4.402,-0.44,-0.885,203.197,0.57,-3.65,-8.03,1010.56,2.87,-18.18,31.18,-8.09,-11.9,-6.99,0.8,163,317,154,2263433.3,1.47,-0.01,0.84,0.48,-0.34,0.48,0.33,0.35,1.23,0.89,-0.47,-1.49,-1.06,0.19,.,
1985,5.014,-1.297,-0.537,280.286,0.63,-2.63,-6.02,1010.05,2.49,-11.56,28.28,-5.03,-7.19,4.5,0.76,162,301,139,2652432.6,1.01,0.69,0.45,-0.86,-0.53,-0.16,-0.55,-0.81,-0.63,0.19,0,0.57,0.61,0.6,-1.6917,
1986,4.692,-1.13,-0.838,201.715,0.6,-1.97,-6.47,1009.25,3.01,-18.02,30.7,-8.32,-14.32,-9.96,0.77,152,323,171,2419037,1.04,0.83,1.24,-1.33,0.53,0.96,0.95,-0.22,0.2,0.42,-0.7,-0.48,-1.74,0.33,.,
1987,4.669,-1.131,-1.025,230.878,0.68,-2.16,-6.23,1007.1,3.1,-18.14,31.21,-10,-13.81,-10.72,0.81,150,318,168,2143701.7,1.8,1.86,1.82,-0.5,-0.07,1.01,0.84,-0.91,-1.09,-0.19,0.85,0.71,-1.2,-1.22,.,
1988,4.305,-1.022,-0.976,203.865,0.63,-2.05,-6.36,1007.27,3.39,-20.39,33.19,-9.18,-11.75,-8.13,0.73,125,315,190,2224293.1,1.15,0.52,0.53,-0.14,0.5,0.86,0.34,-0.93,-0.83,0.09,1.5,-0.1,-0.23,-1.22,1.6738,
1989,4.639,-1.435,-0.273,254.332,0.69,-2.59,-5.06,1011.4,4.11,-18.23,30.08,-10.8,-14.31,-13.25,0.68,128,311,183,2370068.2,-0.8,0.43,-0.18,2.6,0.4,-0.38,-0.8,-1.57,0.2,1.77,0.66,-0.87,1.38,1.2,.,
1990,4.353,-0.706,-0.136,232.794,0.66,-3.12,-6.37,1009.62,4,-18.9,33.2,-11.36,-16.09,-13.14,0.83,145,314,169,2548065.6,-0.39,0.27,-0.36,1.34,-0.66,-0.44,-0.46,1.44,0.92,-0.51,0.18,-0.45,1.02,-0.2,.,
1991,4.356,-0.881,-1.154,207.82,0.61,-1.68,-6.01,1008.61,4.24,-21.69,35.97,-9.45,-18.06,-13.23,0.75,130,319,189,2537492.6,-1.81,-0.4,-0.42,0.57,-0.09,0.14,-0.37,0.06,0.25,0.19,-0.07,0.95,1.15,-0.59,5.3369,
1992,3.888,-0.441,-0.45,163.867,0.66,-4.26,-7.65,1010.09,2.37,-16.34,28.9,-9.31,-11.72,-8.48,0.85,173,303,130,2400111,0.15,1.53,0.93,1.2,0.65,0.68,0.48,1.46,-0.21,-1.68,0.27,-0.05,-0.97,-0.69,.,
1993,4.016,-1.144,-0.592,162.022,0.68,-0.86,-4.3,1008.28,4.04,-22.81,36.36,-13.32,-17.35,-17.12,0.69,117,326,209,2636422.7,0.26,2.46,1.42,1.79,0.58,-0.44,-0.48,-0.67,-0.11,0.56,0.39,-0.59,0.04,-2.33,.,
1994,3.911,-0.742,-0.749,157.24,0.62,-3.25,-7.21,1009.11,3.67,-19.29,30.25,-11.63,-13.9,-14.58,0.74,134,315,181,2518251.6,0.96,-0.09,-0.15,-0.12,0.66,-0.04,-0.08,-0.87,-0.27,0.61,0.38,0.09,0.77,-0.49,.,
1995,3.76,-0.632,-0.609,142.67,0.62,-1.74,-5.46,1010.84,3.52,-21.17,33.74,-8.58,-12.09,-8.11,0.77,130,321,191,2396481.5,-0.61,1.06,0.64,0.88,0.63,0.69,0.79,0.6,0.97,0.37,-0.29,0.03,-0.04,-1.12,.,
1996,4.327,-0.803,-0.448,196.665,0.63,-2.57,-6.65,1013.74,3.65,-26.18,52.35,-13.85,-18.08,-5.76,0.7,118,313,195,2018986.1,0.5,0.58,0.64,-0.68,1.02,0.2,0.29,-1.93,-0.58,1.35,-0.42,-1.55,-0.4,-0.83,3.30327,
1997,4.331,-0.518,-0.514,205.164,0.67,-1.85,-5.37,1009.43,3.64,-17.24,29.24,-9.51,-12.82,-10.34,0.74,134,327,193,2394632.5,0.16,2.63,1.46,0.16,0.13,-0.01,-0.12,-1.18,-0.58,0.61,-0.17,-0.16,0,-2.09,.,
