Code,Name,Cname
0,unknown,unknown
1,fish eggs unident.,fish egg
2,Kelp,Kelp
471,Bathyraja parmifera,Alaska Skate
10001,Pleuronectiformes,flatfish unidentNone (prevNone flounder unidentNone)
10115,Reinhardtius hippoglossoides,Greenland turbot
10120,Hippoglossus stenolepis,Pacific halibut
10130,Hippoglossoides elassodon,flathead sole
10140,Hippoglossoides robustus,Bering flounder
10155,Liopsetta glacialis (=Pleuronectes glacialis),Arctic flounder
10210,Limanda aspera,yellowfin sole
10211,Limanda proboscidea (=Pleuronectes proboscidea),longhead dab
10220,Platichthys stellatus,starry flounder
10221,Platichthys stellatus X Pleuronectes quadrituberculatus,Hybrid starry flounder X Alaska plaice
10240,Clidoderma,roughscale sole
10250,Psettichthys melanostictus,sand sole
10260,Lepidopsetta sp. (= Pleuronectes in part),rock sole spNone
10261,Lepidopsetta peracuata (=Pleuronectes perarcuatus),northern rock sole
10262,Lepidopsetta bilineata (prev. Pleuronectes bilineatus),southern rock sole
10270,Isopsetta isolepis (=Pleuronectes isolepis),butter sole
10280,Pleuronichthys decurrens,curlfin sole
10281,Pleuronichthys verticalis,hornyhead turbot
10285,Pleuronectes quadrituberculatus,Alaska plaice
10290,Pleuronichthys coenosus,C-O sole
10291,Pleuronichthys sp.,None
10295,Pleuronichthys ritteri,Pleuronichthys ritteri
10400,Symphurus atricauda,California tonguefish
20000,Agonidae,poacher unidentNone
20001,Pallasina barbata,tubenose poacher
20006,Sarritor frenatus,sawback poacher
20040,Podothecus acipenserinus (=Agonus acipenserinus),sturgeon poacher
20041,Podothecus veternus,Veteran poacher
20051,Aspidophoroides olriki,Arctic alligatorfish
20060,Occella verrucosa,warty poacher
20061,Occella dodecaedron,Bering poacher
20202,Ammodytes hexapterus,Pacific sand lance
20322,Anarhichas orientalis,Bering wolffish
21110,Clupea pallasi  (=Clupea harengus pallasi),Pacific herring
21300,Cottidae,sculpin unidentNone
21313,Gymnocanthus sp.,None
21314,Gymnocanthus pistilliger,threaded sculpin
21315,Gymnocanthus tricuspis,Arctic staghorn sculpin
21331,Artediellus sp.,None
21332,Artediellus miacanthus,bride sculpin  (Northern hookear sculpin)
21334,Artediellus scaber,hamecon
21335,Artediellus uncinatus,Arctic hookear sculpin
21339,Malacocottus sp.,None
21341,Malacocottus zonurus,darkfin sculpin
21342,Hemilepidotus sp.,Irish lord
21346,Hemilepidotus hemilepidotus,red Irish lord
21347,Hemilepidotus jordani,yellow Irish lord
21348,Hemilepidotus papilio  (=Melletes papilio),butterfly sculpin
21350,Triglops sp.,None
21353,Triglops metopias,crescent-tail sculpin
21355,Triglops pingeli,ribbed sculpin
21356,Triglops macellus,roughspine sculpin
21360,Microcottus sellaris,brightbelly sculpin
21368,Myoxocephalus verrucosus(=M. groenlandicus=M. scorpius),warty sculpin  (=shorthorned sculpin)
21370,Myoxocephalus polyacanthocephalus,great sculpin
21371,Myoxocephalus jaok,plain sculpin
