"","Year","Agent","ADFG_Station","Haul","Month","Day","Latitude","Longitude","Swept_NM2","Depth_m","Bottom_Temp","Surface_Temp","ADFG_tier","female","NOCrab","other","Total","UNK"
"1",1976,"NOAA",129,1,9,2,64,-164.6,0.015635005,21,8.6,11,"c",63.9590457438293,NA,NA,575.631411694464,NA
"2",1976,"NOAA",130,2,9,2,64,-164.9666667,0.017280795,20,7.2,10.5,"c",NA,NA,NA,231.470832215763,NA
"3",1976,"NOAA",131,3,9,2,64,-165.35,0.015635005,20,6.6,9.8,"c",NA,NA,NA,767.508548925952,NA
"4",1976,"NOAA",158,4,9,2,64.16666667,-165.35,0.01481211,20,7.4,10.9,"c",NA,NA,NA,1282.73419519569,NA
"5",1976,"NOAA",159,5,9,2,64.16666667,-165.7333333,0.01481211,22,6.2,10.6,"c",NA,NA,NA,1147.70954306983,NA
"6",1976,"NOAA",182,7,9,3,64.33333333,-164.6666667,0.01481211,18,6,13.2,"c",1485.27117338448,NA,NA,945.172564881033,202.536978188793
"7",1976,"NOAA",156,8,9,3,64.16666667,-164.5833333,0.01481211,18,6.5,13.7,"c",1080.1972170069,NA,NA,1417.75884732155,NA
"8",1976,"NOAA",157,9,9,3,64.16666667,-164.9833333,0.01481211,18,7.6,11.5,"c",540.098608503448,NA,NA,2362.93141220258,NA
"9",1976,"NOAA",183,10,9,3,64.3,-165.0833333,0.01481211,28,7.6,12,"c",270.049304251724,NA,NA,12557.2926477052,NA
"10",1976,"NOAA",184,11,9,3,64.35,-165.4166667,0.013989215,28,7.5,10.2,"c",71.4836393607504,NA,NA,1429.67278721501,NA
"11",1976,"NOAA",186,13,9,3,64.33333333,-166.15,0.012343425,26,5,10.2,"c",NA,NA,NA,81.0147912755171,NA
"12",1976,"NOAA",208,15,9,4,64.48333333,-167.2833333,0.015635005,34,6.2,9.8,"ONS",NA,0,NA,NA,NA
"13",1976,"NOAA",210,16,9,4,64.46666667,-167.9,0.01481211,35,4.4,8.3,"ONS",NA,0,NA,NA,NA
"14",1976,"NOAA",225,17,9,4,64.71666667,-167.85,0.01481211,36,3.6,10.5,"ONS",NA,0,NA,NA,NA
"15",1976,"NOAA",227,18,9,4,64.75,-168.4166667,0.01316632,43,2,7.9,"ONS",NA,0,NA,NA,NA
"16",1976,"NOAA",240,19,9,4,64.76666667,-169.05,0.01481211,46,0.9,6.1,"ONS",NA,0,NA,NA,NA
"17",1976,"NOAA",211,21,9,4,64.53333333,-168.45,0.015635005,41,1.8,6.6,"ONS",NA,0,NA,NA,NA
"18",1976,"NOAA",224,22,9,4,64.73333333,-167.2666667,0.013989215,29,3.5,10.5,"ONS",NA,0,NA,NA,NA
"19",1976,"NOAA",247,26,9,5,65.01666667,-167.8833333,0.01810369,47,NA,NA,"ONS",NA,0,NA,NA,NA
"20",1976,"NOAA",160,136,9,18,64.18333333,-166.15,0.01316632,25,8,8,"c",NA,NA,NA,1898.78417051993,NA
"21",1976,"NOAA",133,137,9,18,64.03333333,-166.1666667,0.01481211,27,8.2,8.2,"c",NA,NA,NA,810.147912755171,NA
"22",1976,"NOAA",132,138,9,18,64,-165.65,0.01316632,22,8.9,8.9,"c",NA,NA,NA,1898.78417051993,NA
"23",1976,"NOAA",105,139,9,19,63.85,-165.6666667,0.01316632,23,9.9,9.9,"t1",NA,NA,NA,1291.17323595355,NA
"24",1976,"NOAA",106,140,9,19,63.85,-166.0666667,0.013989215,29,8.6,8.6,"t1",NA,NA,NA,1000.77095105051,NA
"25",1976,"NOAA",81,141,9,19,63.66666667,-166.0333333,0.01316632,29,NA,NA,"t1",NA,NA,NA,379.756834103986,NA
