Year,Agent,Haul,Vessel,Haul_rate,Month,Day,Latitude,Longitude,Swept_km2,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp,Spcode,Total_n,Weight_kg
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,21368,2,1.588
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,23055,46,1.406
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,21735,470,25.22
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,80000,412,73.709
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,24185,1,0.091
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,21110,1,0.045
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,21725,104,4.173
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,69322,9,10.523
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,20040,6,0.181
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,10210,13,0.363
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,21740,2,0.045
1976,NOAA,1,1,NA,9,2,64,-164.6,0.053626512,0.015635005,21,8.6,11,10220,8,4.853
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,68580,31,2.948
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,10210,18,1.361
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,10285,6,1.814
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,80000,1186,212.281
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,21355,2,0.227
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,10220,3,2.268
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,68781,36,5.443
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,21735,237,17.237
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,21725,87,1.134
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,21315,1,0.136
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,20040,7,0.227
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,69322,95,65.317
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,21388,7,0.68
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,23041,2,0.136
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,21368,11,3.629
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,24185,4,0.454
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,23055,3,0.454
1976,NOAA,10,1,NA,9,3,64.3,-165.0833333,0.050804064,0.01481211,28,7.6,12,23809,2,0.181
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21932,10,0.68
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,69120,5,0.29
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21355,4,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,41201,2,0.03
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,80540,1,0.001
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,80200,45,13.6
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,24185,3,2.041
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,10220,3,1.814
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,20040,4,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,74640,2,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,69090,1,0.048
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,23807,14,0.227
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,66530,2,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,68577,4,0.1
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,66601,3,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21735,1417,86.183
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21368,2,2.268
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,71500,47,5.216
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,23809,3,0.454
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,69322,21,16.783
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,24189,1,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,81355,1,0.05
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,68580,15,0.227
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,80590,1,0.1
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,75240,1,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,71753,1,0.363
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21388,33,2.948
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,81742,1314,289.2
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,74562,1,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,98000,2,5
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21110,17,0.68
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,66050,150,1.814
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,80020,18,13.6
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,68781,1,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,23055,54,1.361
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21405,1,0.045
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,43000,7900,28.1
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21725,229,3.629
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,85210,2,0.05
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,10285,15,2.268
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,81095,6,0.1
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,82510,8,0.5
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,10210,5,0.227
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,69061,28,0.564
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,66611,200,1.361
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,21740,12,0.227
1976,NOAA,11,1,NA,9,3,64.35,-165.4166667,0.047981616,0.013989215,28,7.5,10.2,71772,42,4.808
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,80200,319,85.6
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21371,6,4.536
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,10220,11,11.113
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,80595,52,0.2
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21740,6,0.091
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,75285,1,0.091
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,66611,80,0.363
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,74562,2,0.045
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,66050,13,0.091
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,40500,3,2.3
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,74983,1,0.045
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,71772,2,0.136
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,81742,366,165.9
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,69120,9,0.531
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,80020,300,136.2
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,23807,6,0.091
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,68577,5,0.1
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21355,1,0.045
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21735,542,46.266
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,69061,27,0.338
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,82510,1,0.01
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21725,60,0.907
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,69322,1,0.68
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,75332,1,0.045
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21388,3,0.136
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,68580,16,0.227
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,23055,15,0.68
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,83020,20,2.722
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21368,1,0.454
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21110,46,3.629
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,20040,14,0.227
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,66045,62,0.091
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,10285,3,0.907
1976,NOAA,13,1,NA,9,3,64.33333333,-166.15,0.04233672,0.012343425,26,5,10.2,21315,1,0.045
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,69061,13,0.24
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,23807,11,0.136
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,80540,1,0.005
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,80595,24,0.5
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,66611,150,1.497
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,98105,1,0.1
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,69322,26,25.038
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,81095,1,0.04
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,20040,7,0.091
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21735,915,53.75
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,83020,3,0.181
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,23055,24,0.68
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,24189,2,1.361
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,80200,120,35.8
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,69086,2,0.097
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,81742,2453,539.8
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,43000,20,1.2
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,71772,1,0.181
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21355,2,0.045
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,66601,16,0.272
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,69120,2,0.048
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,41201,10,0.2
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21725,8,0.136
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21371,3,3.629
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,68580,14,0.272
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21388,1,0.091
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,40500,3,2.3
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,68781,1,0.091
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21368,112,4.082
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,10210,1,0.091
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,80020,42,31.5
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,10220,124,136.531
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,21315,107,2.268
1976,NOAA,136,1,NA,9,18,64.18333333,-166.15,0.045159168,0.01316632,25,8,8,75285,10,0.136
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21110,6,0.68
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,68577,2,0.02
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21368,9,1.134
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,69061,37,0.6
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,10220,14,17.237
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,80595,12,0.2
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,81095,1,0.03
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21735,670,28.304
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,66611,75,0.816
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,69322,12,14.061
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21740,13,0.181
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,69086,12,0.386
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,80540,4,0.02
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,98105,1,0.1
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,81742,598,131.7
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,23055,104,2.812
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,98082,4,0.1
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,83020,12,1.179
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,71772,1,0.136
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,10285,1,0.454
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,23807,3,0.045
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21315,78,3.629
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,43000,3,0.3
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21405,3,0.045
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,98000,1,0.01
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,69120,7,0.145
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21725,8,0.227
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,10210,2,0.227
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,80020,9,10
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,21355,8,0.136
1976,NOAA,137,1,NA,9,18,64.03333333,-166.1666667,0.050804064,0.01481211,27,8.2,8.2,80200,106,31.3
1976,NOAA,138,1,NA,9,18,64,-165.65,0.045159168,0.01316632,22,8.9,8.9,23809,1,0.091
1976,NOAA,138,1,NA,9,18,64,-165.65,0.045159168,0.01316632,22,8.9,8.9,69322,25,16.783
