Year,Agent,Haul,ADFG_Station,NOAA_Station,Month,Day,Swept_km2,Swept_NM2,Depth_m,Bottom_Temp,Surface_Temp,Latitude,Longitude
1976,NOAA,1,129,G10,9,2,0.053626512,0.015635005,21,8.6,11,64,-164.5915
1976,NOAA,2,130,G11,9,2,0.059271408,0.017280795,20,7.2,10.5,64,-164.97
1976,NOAA,3,131,G12,9,2,0.053626512,0.015635005,20,6.6,9.8,64,-165.3485
1976,NOAA,4,158,H12,9,2,0.050804064,0.01481211,20,7.4,10.9,64.16666667,-165.3508333
1976,NOAA,5,159,H13,9,2,0.050804064,0.01481211,22,6.2,10.6,64.16666667,-165.7315
1976,NOAA,7,182,I10,9,3,0.050804064,0.01481211,18,6,13.2,64.33333333,-164.587
1976,NOAA,8,156,H10,9,3,0.050804064,0.01481211,18,6.5,13.7,64.16666667,-164.5891667
1976,NOAA,9,157,H11,9,3,0.050804064,0.01481211,18,7.6,11.5,64.16666667,-164.97
1976,NOAA,10,183,I11,9,3,0.050804064,0.01481211,28,7.6,12,64.33333333,-164.97
1976,NOAA,11,184,I12,9,3,0.047981616,0.013989215,28,7.5,10.2,64.33333333,-165.353
1976,NOAA,13,186,I14,9,3,0.04233672,0.012343425,26,5,10.2,64.33333333,-166.1191667
1976,NOAA,15,208,J17,9,4,0.053626512,0.015635005,34,6.2,9.8,64.5,-167.2823333
1976,NOAA,16,210,J19,9,4,0.050804064,0.01481211,35,4.4,8.3,64.5,-168.0531667
1976,NOAA,17,225,K18,9,4,0.050804064,0.01481211,36,3.6,10.5,64.66666667,-167.6843333
1976,NOAA,18,227,K20,9,4,0.045159168,0.01316632,43,2,7.9,64.74725,-168.4125278
1976,NOAA,19,240,L21,9,4,0.050804064,0.01481211,46,0.9,6.1,64.76666667,-169.05
1976,NOAA,20,213,J22,9,4,0.064916304,0.018926585,45,1,6.2,64.53258333,-169.05125
1976,NOAA,21,211,J20,9,4,0.053626512,0.015635005,41,1.8,6.6,64.48533333,-168.4831667
1976,NOAA,22,224,K17,9,4,0.047981616,0.013989215,29,3.5,10.5,64.66666667,-167.2965
1976,NOAA,23,,O15,9,5,0.050804064,0.01481211,13,,,,
1976,NOAA,25,,O17,9,5,0.050804064,0.01481211,14,,,,
1976,NOAA,26,247,M18,9,5,0.062093856,0.01810369,47,,,65,-167.718
1976,NOAA,27,,o18,9,5,0.05644896,0.0164579,35,,,,
1976,NOAA,28,,p20,9,5,0.05644896,0.0164579,58,,,,
1976,NOAA,29,,r19,9,5,0.059271408,0.017280795,50,,,,
1976,NOAA,30,,s19,9,5,0.047981616,0.013989215,38,,,,
1976,NOAA,31,,r18,9,6,0.05644896,0.0164579,17,,,,
1976,NOAA,33,,A17,9,6,0.053626512,0.015635005,25,,,,
1976,NOAA,35,,E17,9,6,0.039514272,0.01152053,34,,,,
1976,NOAA,36,,s17,9,6,0.062093856,0.01810369,19,,,,
1976,NOAA,37,,B15,9,6,0.050804064,0.01481211,19,,,,
1976,NOAA,38,,C15,9,6,0.04233672,0.012343425,27,,,,
1976,NOAA,40,,E14,9,7,0.059271408,0.017280795,22,,,,
1976,NOAA,41,,C14,9,7,0.053626512,0.015635005,18,,,,
1976,NOAA,42,,C12,9,7,0.053626512,0.015635005,17,,,,
1976,NOAA,43,,D12,9,7,0.039514272,0.01152053,24,,,,
1976,NOAA,44,,E11,9,7,0.059271408,0.017280795,27,,,,
1976,NOAA,45,,E10,9,7,0.05644896,0.0164579,27,,,,
1976,NOAA,46,,D10,9,7,0.064916304,0.018926585,20,,,,
1976,NOAA,47,,,9,7,,,20,,,,
1976,NOAA,48,,D09,9,7,0.053626512,0.015635005,20,,,,
1976,NOAA,49,,D07,9,8,0.047981616,0.013989215,21,,,,
1976,NOAA,50,,E07,9,8,0.053626512,0.015635005,16,,,,
1976,NOAA,51,,F07,9,8,0.050804064,0.01481211,15,,,,
1976,NOAA,52,,D05,9,8,0.053626512,0.015635005,15,,,,
