"","ADFG_Station","Latitude","Longitude","NMFS_Station","Area_Nm2","ADFG_tier","NOAA_tier","CPT_STD","1976_NOAA","1979_NOAA","1982_NOAA","1985_NOAA","1988_NOAA","1991_NOAA","1996_ADFG","1999_ADFG","2002_ADFG","2006_ADFG","2008_ADFG","2010_NBS","2011_ADFG","2014_ADFG","2017_ADFG","2017_NBS","2018_ADFG","2019_ADFG","2019_NBS","2020_ADFG","2021_ADFG","2021_NBS","2022_NBS","2023_ADFG","2023_NBS"
"1",3,63,-165.701,"A13",100,"O","O","O",NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",4,63,-166.0665,"A14",100,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57278.6941284934,NA,NA,NA,0,NA,NA,0,NA,NA,0,527568.922734726,NA,33667.6794183735
"3",6,63,-166.7973333,"A16",225,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,60325.3478174855,30318.9460702408,NA,29520.3668703511
"4",8,63,-167.5283333,"A18",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,31019.7075550884,NA,NA,0,518084.484476989,NA,0
"5",9,63,-167.8938333,"A19/N009",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",10,63.0305,-168.61775,"A21/N009AB",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",18,63.16666667,-165.3375,"B12",100,"O","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",19,63.16666667,-165.7051667,"B13",100,"O","O","O",15190.2733641595,0,NA,8439.04075786637,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",20,63.16666667,-166.0726667,"B14",100,"O","O","O",8101.47912755171,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",21,63.16666667,-166.4403333,"B15",225,"O","O","O",34178.1150693588,0,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",22,63.16666667,-166.8078333,"B16",225,"O","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",23,63.16666667,-167.1755,"B17",225,"ONS","O","O",42065.372393057,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",24,63.16666667,-167.543,"B18/N024",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",25,63.16666667,-167.9106667,"B19/N025",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",37,63.33333333,-165.3396667,"C12",100,"O","O","O",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,28746.7617667564,NA,NA,NA,NA,NA,NA,0,NA,NA,0,0,NA,0
"16",38,63.33333333,-165.7093333,"C13",100,"O","S","O",37975.6834103986,0,NA,24970.3123794402,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",39,63.33333333,-166.0791667,"C14",100,"O","S","O",34720.6248323645,0,NA,0,0,25673.7014605512,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,60818.8555226277,NA,NA,29643.4386008989,163209.407673008,NA,0
"18",40,63.33333333,-166.4488333,"C15",225,"O","S","O",NA,NA,NA,0,16878.0815157327,18600.3347316238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",41,63.33333333,-166.8185,"C16",225,"O","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,0,359994.183876574,NA,27872.8829875831
"20",43,63.33333333,-167.558,"C18",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0,NA,NA,0,NA,NA,31372.1018115199,31320.5931082584,NA,0
"21",44,63.33333333,-167.9276667,"C19/N044",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",49,63.5,-163.1106667,"D06",100,"O","O","O",7595.13668207973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",50,63.5,-163.4825,"D07",100,"O","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",52,63.5,-164.2263333,"D09",100,"O","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",53,63.5,-164.5981667,"D10",100,"O","O","O",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",54,63.5,-164.97,"D11",100,"O","O","O",0,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",55,63.5,-165.3418333,"D12",100,"O","O","O",6076.10934566378,NA,NA,7691.27765273897,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",56,63.5,-165.7136667,"D13",100,"O","S","O",0,0,NA,0,0,15285.8096746259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",57,63.5,-166.0855,"D14",100,"O","S","O",30380.5467283189,8101.47912755171,NA,0,7409.88944593144,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",58,63.5,-166.4575,"D15",225,"O","S","O",0,18228.3280369914,0,0,0,19120.6238150259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",60,63.5,-167.2011667,"D17",225,"ONS","O","O",0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",61,63.5,-167.573,"D18/N061",225,"ONS","O","O",0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",62,63.5,-167.9448333,"D19/N062",225,"ONS","O","O",NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
